ID,Meal,Restaurant,Type,Snack,Cal,P,C,F,Sugar,Fibre,Price (£),Vegan,Veg,Discount Price,,,,,,,,,,,
201,Hickory Ham & Cheese Toastie,Starbucks,Lunch / Dinner,n,419,28,46,13,4,29,5.45,,,,,,,,,,,,,,
202,Tomato & Mozzarella Panini,Starbucks,Lunch / Dinner,n,442,21,56,14,8.1,3.8,5.45,,,,,,,,,,,,,,
203,Tuna Melt Panini,Starbucks,Lunch / Dinner,n,450,28,56,12,5.2,3.2,5.45,,,,,,,,,,,,,,
204,Cheese & marmite Mini Ciabatta,Starbucks,Lunch / Dinner,n,352,19,41,12,3,1.9,4.2,,,,,,,,,,,,,,
205,Gluten Free Ham & Cheese Panini,Starbucks,Lunch / Dinner,n,349,17,41,9.9,1.1,14,5.45,,,,,,,,,,,,,,
206,Free Range Egg & Mayo sandwich,Starbucks,Lunch / Dinner,n,499,19,45,26,2.8,4.7,3.18,,,,,,,,,,,,,,
207,Tu'nah Sandwich,Starbucks,Lunch / Dinner,n,534,17,60,24,5.2,5.2,4.45,,,,,,,,,,,,,,
208,Joes Club,Joe Juice,Lunch / Dinner,n,430,29,45,16,2,6,6.3,,,,,,,,,,,,,,
209,Joes Club w/ chicken,Joe Juice,Lunch / Dinner,n,442,31,45,17,2,6,7.3,,,,,,,,,,,,,,
210,Tunacado sandwich,Joe Juice,Lunch / Dinner,n,452,11,49,25,5,6,6.3,,,,,,,,,,,,,,
211,Serrano sndwich,Joe Juice,Lunch / Dinner,n,490,28,44,25,2,6,6.3,,,,,,,,,,,,,,
212,Avocado sandwich,Joe Juice,Lunch / Dinner,n,485,22,46,27,2,6,6.3,,,,,,,,,,,,,,
213,Avocado sandwich w/ chicken,Joe Juice,Lunch / Dinner,n,497,25,46,27,2,7,7.3,,,,,,,,,,,,,,
214,Spicy Tuna Sandwich,Joe Juice,Lunch / Dinner,n,415,15,48,19,3,5,6.3,,,,,,,,,,,,,,
215,Turkey sandwich,Joe Juice,Lunch / Dinner,n,420,26,43,16,2,5,6.3,,,,,,,,,,,,,,
216,Vavo Sandwich,Joe Juice,Lunch / Dinner,n,433,19,46,22,2,7,6.3,1,,,,,,,,,,,,,
217,Acai Bowl w/ protein,Joe Juice,Breakfast,y,469,17,60,33,28,18,8.7,,,,,,,,,,,,,,
218,Joe's instant porridge,Joe Juice,Breakfast,y,415,11,49,17,18,11,2.9,,,,,,,,,,,,,,
219,Spirulina Bowl,Joe Juice,Breakfast,y,485,14,68,31,39,18,7.7,,,,,,,,,,,,,,
220,Green gains shake,Joe Juice,Breakfast,y,435,23,61,34,38,15,7.7,,,,,,,,,,,,,,
221,Rebuild Shake,Joe Juice,Breakfast,y,515,15,86,13,47,10,7.7,,,,,,,,,,,,,,
222,Green Vegan Bowl salad,Joe Juice,Lunch / Dinner,n,532,32,29,36,12,10,8.5,1,,,,,,,,,,,,,
223,Green Tuna Bowl salad,Joe Juice,Lunch / Dinner,n,587,35,33,38,15,6,8.5,1,,,,,,,,,,,,,
224,Thin Bagel w/ 2 slices Ham and 1 slice light cheese,DIY / Home,Breakfast,y,206,12.5,25.5,4.1,3.2,1.2,0.55,,,,,,,,,,,,,,
225,Thin Bagel w/ 2 slices Ham,DIY / Home,Breakfast,y,154,9.3,25.5,0.9,3.2,1.2,0.30,,,,,,,,,,,,,,
226,Thin Bagel w/ 1 slice light cheese,DIY / Home,Breakfast,y,206,8.2,25,3.9,3.2,1.2,0.45,,,,,,,,,,,,,,
227,40g Oats,DIY / Home,Breakfast,y,145,4.1,24.2,2.8,0.5,3.3,0.06,,,,,,,,,,,,,,
228,80g Oats,DIY / Home,Breakfast,y,290,8.2,48.4,5.6,1,6.6,0.11,,,,,,,,,,,,,,
229,40g Oats w/ pea protein 1 scoop 30g,DIY / Home,Breakfast,y,264,27.1,26.6,4.5,0.6,4.1,0.76,,,,,,,,,,,,,,
230,80g Oats w/ pea protein 1 scoop 30g,DIY / Home,Breakfast,y,409,31.2,50.8,7.3,1.1,7.4,0.81,,,,,,,,,,,,,,
231,Thin Bagel w/ smoked salmon (1 slice),DIY / Home,Breakfast,y,,,,,,,,,,,,,,,,,,,,,
232,Single ShackBurger,Shake Shack,Lunch / Dinner,n,500,29,26,30,6,0,,,,,,,,,,,,,,,
233,Double ShackBurger,Shake Shack,Lunch / Dinner,n,760,51,27,48,6,0,,,,,,,,,,,,,,,
234,Single Hamburger,Shake Shack,Lunch / Dinner,n,370,25,24,18,5,0,,,,,,,,,,,,,,,
235,Double Hamburger,Shake Shack,Lunch / Dinner,n,560,44,24,30,5,0,,,,,,,,,,,,,,,
236,Single Cheeseburger,Shake Shack,Lunch / Dinner,n,440,29,25,24,5,0,,,,,,,,,,,,,,,
237,Double Cheeseburger,Shake Shack,Lunch / Dinner,n,700,51,25,42,5,0,,,,,,,,,,,,,,,
238,‘Shroom Burger,Shake Shack,Lunch / Dinner,n,510,18,49,27,7,0,,,,,,,,,,,,,,,
239,Shack Stack®,Shake Shack,Lunch / Dinner,n,770,40,50,45,7,0,,,,,,,,,,,,,,,
240,Single SmokeShack,Shake Shack,Lunch / Dinner,n,570,36,28,35,7,0,,,,,,,,,,,,,,,
241,Double SmokeShack,Shake Shack,Lunch / Dinner,n,830,58,28,53,7,0,,,,,,,,,,,,,,,
242,Roadside Double Burger,Shake Shack,Lunch / Dinner,n,770,53,32,46,7,0,,,,,,,,,,,,,,,
243,Lockhart Link Burger,Shake Shack,Lunch / Dinner,n,780,39,27,56,5,0,,,,,,,,,,,,,,,
244,"Lockhart Link Burger, Double",Shake Shack,Lunch / Dinner,n,1040,61,28,74,5,0,,,,,,,,,,,,,,,
245,"Lockhart Link Burger, Triple",Shake Shack,Lunch / Dinner,n,1300,83,29,92,6,0,,,,,,,,,,,,,,,
246,Link Burger,Shake Shack,Lunch / Dinner,n,680,39,27,46,6,0,,,,,,,,,,,,,,,
247,"Link Burger, Double",Shake Shack,Lunch / Dinner,n,930,61,28,64,6,0,,,,,,,,,,,,,,,
248,"Link Burger, Triple",Shake Shack,Lunch / Dinner,n,1190,83,28,82,7,0,,,,,,,,,,,,,,,
249,"Green Chile CheddarShack, Single",Shake Shack,Lunch / Dinner,n,470,30,28,26,6,1,,,,,,,,,,,,,,,
250,"Green Chile CheddarShack, Double",Shake Shack,Lunch / Dinner,n,750,53,28,46,6,1,,,,,,,,,,,,,,,
251,Mound City Double,Shake Shack,Lunch / Dinner,n,780,56,26,48,6,0,,,,,,,,,,,,,,,
252,"Brat Burger, Single",Shake Shack,Lunch / Dinner,n,860,44,34,61,6,0,,,,,,,,,,,,,,,
253,"Brat Burger, Double",Shake Shack,Lunch / Dinner,n,1050,62,34,73,6,0,,,,,,,,,,,,,,,
254,Montlake Single Cut,Shake Shack,Lunch / Dinner,n,670,29,36,45,5,0,,,,,,,,,,,,,,,
255,Montlake Double Cut,Shake Shack,Lunch / Dinner,n,980,54,36,68,5,0,,,,,,,,,,,,,,,
256,Golden State Single,Shake Shack,Lunch / Dinner,n,560,31,26,37,5,0,,,,,,,,,,,,,,,
257,Golden State Double,Shake Shack,Lunch / Dinner,n,840,54,27,56,5,0,,,,,,,,,,,,,,,
258,"Bacon Cheeseburger, single",Shake Shack,Lunch / Dinner,n,500,35,25,29,5,0,,,,,,,,,,,,,,,
259,"Bacon Cheeseburger, double",Shake Shack,Lunch / Dinner,n,760,58,25,47,6,0,,,,,,,,,,,,,,,
260,Veggie Shack,Shake Shack,Lunch / Dinner,n,530,16,56,27,10,6,,,,,,,,,,,,,,,
261,"Veggie Shack, vegan, lettuce wrap",Shake Shack,Lunch / Dinner,n,310,4,31,18,6,4,,,,,,,,,,,,,,,
262,"Veggie Shack, vegan",Shake Shack,Lunch / Dinner,n,390,6,50,22,8,6,,,,,,,,,,,,,,,
263,Grilled Cheese,Shake Shack,Lunch / Dinner,n,320,14,25,18,5,0,,,,,,,,,,,,,,,
264,Martin's Potato Roll,Shake Shack,Lunch / Dinner,n,180,7,24,6,5,0,,,,,,,,,,,,,,,
265,Gluten Free Bun,Shake Shack,Lunch / Dinner,n,160,3,31,3,5,2,,,,,,,,,,,,,,,
266,Chick'n Shack,Shake Shack,Lunch / Dinner,n,550,33,34,31,6,0,,,,,,,,,,,,,,,
267,Chick'n Bites (6 piece),Shake Shack,Lunch / Dinner,n,300,17,15,19,1,0,,,,,,,,,,,,,,,
268,Chick'n Bites (10 piece),Shake Shack,Lunch / Dinner,n,510,29,26,32,2,0,,,,,,,,,,,,,,,
269,Hot Honey Chicken,Shake Shack,Lunch / Dinner,n,660,34,63,32,33,0,,,,,,,,,,,,,,,
270,Hot Honey Chicken Bites (6 Piece),Shake Shack,Lunch / Dinner,n,560,18,28,43,10,1,,,,,,,,,,,,,,,
271,Hot Honey Chicken Bites (10 Piece),Shake Shack,Lunch / Dinner,n,770,30,38,56,10,1,,,,,,,,,,,,,,,
272,Habanero Mayo,Shake Shack,Lunch / Dinner,n,230,1,6,24,4,1,,,,,,,,,,,,,,,
273,Honey Mustard,Shake Shack,Lunch / Dinner,n,180,1,4,19,4,0,,,,,,,,,,,,,,,
274,Bacon Breakfast Sandwich,Shake Shack,Breakfast,n,400,23,25,23,5,0,,,,,,,,,,,,,,,
275,Bacon Breakfast Sandwich (Double Egg),Shake Shack,Breakfast,n,490,29,26,30,6,0,,,,,,,,,,,,,,,
276,Sausage Breakfast Sandwich,Shake Shack,Breakfast,n,340,17,25,19,5,0,,,,,,,,,,,,,,,
277,Sausage Breakfast Sandwich (Double Egg),Shake Shack,Breakfast,n,430,23,25,25,5,0,,,,,,,,,,,,,,,
278,Egg and Cheese Breakfast Sandwich,Shake Shack,Breakfast,n,530,30,28,32,8,0,,,,,,,,,,,,,,,
279,Egg and Cheese Breakfast Sandwich (Double Egg),Shake Shack,Breakfast,n,620,36,28,39,8,0,,,,,,,,,,,,,,,
280,Hot Dog,Shake Shack,Lunch / Dinner,n,350,16,25,22,6,0,,,,,,,,,,,,,,,
281,Sausage Link,Shake Shack,Lunch / Dinner,n,240,9,2,20,0,0,,,,,,,,,,,,,,,
282,Publican Pork Sausage,Shake Shack,Lunch / Dinner,n,660,29,33,47,6,0,,,,,,,,,,,,,,,
283,Shackmeister Cheddar Brat,Shake Shack,Lunch / Dinner,n,690,27,33,51,6,0,,,,,,,,,,,,,,,
284,Garden Dog,Shake Shack,Lunch / Dinner,n,180,8,27,3,7,1,,,,,,,,,,,,,,,
285,Regular Fries,Shake Shack,Lunch / Dinner,n,470,6,63,22,1,7,,,,,,,,,,,,,,,
286,Cheese Fries,Shake Shack,Lunch / Dinner,n,710,12,64,44,1,7,,,,,,,,,,,,,,,
287,Bacon Cheese Fries,Shake Shack,Lunch / Dinner,n,840,24,65,52,1,7,,,,,,,,,,,,,,,
288,Hot Honey Fries,Shake Shack,Lunch / Dinner,n,730,7,74,46,9,1,,,,,,,,,,,,,,,
289,Double Down Fries,Shake Shack,Lunch / Dinner,n,1910,41,164,117,5,16,,,,,,,,,,,,,,,
290,Vanilla Shake,Shake Shack,Lunch / Dinner,n,680,18,72,36,71,0,,,,,,,,,,,,,,,
291,Chocolate Shake,Shake Shack,Lunch / Dinner,n,750,16,76,45,69,0,,,,,,,,,,,,,,,
292,Salted Caramel Shake,Shake Shack,Lunch / Dinner,n,840,17,99,42,96,0,,,,,,,,,,,,,,,
293,Black & White Shake,Shake Shack,Lunch / Dinner,n,770,19,80,42,76,0,,,,,,,,,,,,,,,
294,Strawberry Shake,Shake Shack,Lunch / Dinner,n,690,17,77,35,75,0,,,,,,,,,,,,,,,
295,Cookies & Cream Shake,Shake Shack,Lunch / Dinner,n,850,19,98,44,86,0,,,,,,,,,,,,,,,
296,Peachtree Shake*,Shake Shack,Lunch / Dinner,n,770,16,95,38,91,0,,,,,,,,,,,,,,,
297,Bourbon Salted Honey Shake,Shake Shack,Lunch / Dinner,n,890,18,89,44,87,0,,,,,,,,,,,,,,,
298,Loaded Chocolate Cookies & Cream Shake,Shake Shack,Lunch / Dinner,n,1160,17,126,56,108,0,,,,,,,,,,,,,,,
299,Cornflake Chocolate Drizzle Shake,Shake Shack,Lunch / Dinner,n,1090,19,127,57,113,2,,,,,,,,,,,,,,,
300,Chocolate Birthday Cake Shake,Shake Shack,Lunch / Dinner,n,1060,18,111,64,96,4,,,,,,,,,,,,,,,
301,Bacon Breakfast Roll,Greggs,Breakfast,,329,19,36,13,5.3,,,,,,,,,,,,,,,,
302,Sausage Breakfast Roll,Greggs,Breakfast,,390,18,40,17,5.9,,,,,,,,,,,,,,,,
303,Omelette Breakfast Roll,Greggs,Breakfast,,378,18,37,18,6.9,,,,,,,,,,,,,,,,
304,Vegan Sausage Breakfast Roll,Greggs,Breakfast,,410,23,47,14,3.6,,,1,1,,,,,,,,,,,,
305,Bacon & Omelette Breakfast Roll,Greggs,Breakfast,,375,20,36,17,6.1,,,,,,,,,,,,,,,,
306,Bacon & Sausage Breakfast Roll,Greggs,Breakfast,,413,22,39,19,5.7,,,,,,,,,,,,,,,,
307,Sausage & Omelette Breakfast Roll,Greggs,Breakfast,,417,19,40,20,6.5,,,,,,,,,,,,,,,,
308,Bacon Breakfast Baguette,Greggs,Breakfast,,501,26,63,15,1.4,,,,,,,,,,,,,,,,
309,Sausage Breakfast Baguette,Greggs,Breakfast,,584,24,70,21,2.2,,,,,,,,,,,,,,,,
310,Omelette Breakfast Baguette,Greggs,Breakfast,,509,20,65,18,3,,,,,,,,,,,,,,,,
311,Bacon & Omelette Breakfast Baguette,Greggs,Breakfast,,548,27,64,19,2.2,,,,,,,,,,,,,,,,
312,Sausage Omelette Breakfast Baguette,Greggs,Breakfast,,610,26,69,24,2.8,,,,,,,,,,,,,,,,
313,Bacon & Cheese Wrap,Greggs,Breakfast,,385,14,25,26,1,,,,,,,,,,,,,,,,
314,All Butter Croissant,Greggs,Breakfast,,290,6.6,31,15,3.9,,,,,,,,,,,,,,,,
315,Pain au Chocolat,Greggs,Breakfast,,308,6.6,34,16,8.5,,,,,,,,,,,,,,,,
316,Simply Creamy Porridge,Greggs,Breakfast,,210,8,33,4.5,6.7,,,,,,,,,,,,,,,,
317,Golden Syrup Porridge,Greggs,Breakfast,,244,7.5,42,4.2,14,,,,,,,,,,,,,,,,
318,Apple & Cinnamon Porridge,Greggs,Breakfast,,232,8,38,4.5,11,,,,,,,,,,,,,,,,
319,Sausage Roll,Greggs,Lunch / Dinner,,328,9.4,24,22,0,,1.3,0,0,,,,,,,,,,,,
320,Vegan Sausage Roll,Greggs,Lunch / Dinner,,303,11,22,18,0.8,,1.3,1,1,,,,,,,,,,,,
321,Cheese & Onion Bake,Greggs,Lunch / Dinner,,437,8.7,33,30,1.3,,2,,,,,,,,,,,,,,
322,Steak Bake,Greggs,Lunch / Dinner,,408,14,30,26,0,,2.1,,,,,,,,,,,,,,
323,Chicken Bake,Greggs,Lunch / Dinner,,423,13,31,27,1.2,,2.1,,,,,,,,,,,,,,
324,Sausage Bean & Cheese Melt,Greggs,Lunch / Dinner,,453,11,37,28,3,,2.1,,,,,,,,,,,,,,
325,Vegan Sausage Bean & Cheese Melt,Greggs,Lunch / Dinner,,420,8.9,37,25,2.6,,2.1,1,1,,,,,,,,,,,,
326,Beef & Vegetable Pastry,Greggs,Lunch / Dinner,,459,11,44,26,1.8,,2.1,,,,,,,,,,,,,,
327,Roast Chicken Mayonnaise Baguette,Greggs,Lunch / Dinner,,492,25,68,13,3,,3.8,,,,,,,,,,,,,,
328,Ham & Cheese Baguette,Greggs,Lunch / Dinner,,522,28,64,16,2.1,,3.45,,,,,,,,,,,,,,
329,Mexican Chicken Chipotle Wrap,Greggs,Lunch / Dinner,,469,20,61,15,18,,3.55,,,,,,,,,,,,,,
330,Honey Roast Ham Salad Baguette,Greggs,Lunch / Dinner,,433,21,67,7.9,4.1,,3.8,,,,,,,,,,,,,,
331,Mature Cheddar Cheese Salad Baguette,Greggs,Lunch / Dinner,,475,18,64,15,2.7,,3.8,,,,,,,,,,,,,,
332,Mexican Chicken Baguette,Greggs,Lunch / Dinner,,517,25,79,10,15,,3.8,,,,,,,,,,,,,,
333,Roast Chicken and Bacon Club Baguette,Greggs,Lunch / Dinner,,490,24,68,13,4,,3.8,,,,,,,,,,,,,,
334,Tandoori Chicken Baguette,Greggs,Lunch / Dinner,,498,25,71,12,5.8,,3.8,,,,,,,,,,,,,,
335,Tuna Crunch Baguette,Greggs,Lunch / Dinner,,446,26,69,6.2,6.1,,3.8,,,,,,,,,,,,,,
336,Vegan Ham and Cheeze Baguette,Greggs,Lunch / Dinner,,463,17,69,12,1.5,,3.45,,,,,,,,,,,,,,
337,Chargrill Chicken Oval Bite,Greggs,Lunch / Dinner,,403,25,50,10,10,,3.8,,,,,,,,,,,,,,
338,Mexican Chicken Oval Bite,Greggs,Lunch / Dinner,,452,24,62,11,21,,3.8,,,,,,,,,,,,,,
339,Honey Roast Ham and Egg Salad Roll,Greggs,Lunch / Dinner,,333,19,41,9.7,7.9,,3.4,,,,,,,,,,,,,,
340,Roast Chicken Salad Roll,Greggs,Lunch / Dinner,,346,20,42,10,7.6,,3.4,,,,,,,,,,,,,,
341,Tuna Mayonnaise Roll,Greggs,Lunch / Dinner,,331,23,39,8,7,,3.4,,,,,,,,,,,,,,
342,Tuna Mayonnaise & Cucumber Sandwich,Greggs,Lunch / Dinner,,334,22,43,7.4,6.3,,3.4,,,,,,,,,,,,,,
343,Free Range Egg Mayo Sandwich,Greggs,Lunch / Dinner,,356,16,44,12,6,,3.4,,,,,,,,,,,,,,
344,Chicken and Bacon Pasta,Greggs,Lunch / Dinner,,460,18,49,20,6.9,,3.55,,,,,,,,,,,,,,
345,Feta and Tomato Pasta,Greggs,Lunch / Dinner,,380,12,50,13,11,,3.55,,,,,,,,,,,,,,
346,Tuna Crunch Pasta,Greggs,Lunch / Dinner,,375,17,53,10,6.9,,3.55,,,,,,,,,,,,,,
347,Smoky Cajun Rice with BBQ Chicken and Sweetcorn Fritters,Greggs,Lunch / Dinner,,253,11,35,6.1,1.7,,3.55,,,,,,,,,,,,,,
348,Sweet Potato Bhaji and Rice,Greggs,Lunch / Dinner,,244,8.2,37,5.1,7,,3.55,,,,,,,,,,,,,,
349,Ham and Mature Cheddar Cheese Toastie,Greggs,Lunch / Dinner,,471,28,51,16,6.4,,3.25,,,,,,,,,,,,,,
350,Hot Vegan Ham and Cheeze Baguette,Greggs,Lunch / Dinner,,464,17,69,12,1.5,,4.1,1,,,,,,,,,,,,,
351,Hot Ham and Cheese Baguette,Greggs,Lunch / Dinner,,521,28,64,16,2.1,,4.1,,,,,,,,,,,,,,
352,Hot Southern Fried Chicken Baguette,Greggs,Lunch / Dinner,,595,25,89,14,14,,4.1,,,,,,,,,,,,,,
353,BBQ Chicken and Bacon Toastie,Greggs,Lunch / Dinner,,512,34,58,15,12,,4.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
